subject,predicate,object
Bernadette Rostenkowski,instanceOf,Fictional character
Kunal Nayyar,birthDate,1981-04-30
Beverly Hofstadter,portrayedBy,Christine Baranski
Allegra Hofstadter,instanceOf,Fictional character
Stuart Bloom,appearsIn,The Big Bang Theory
Amy Farrah Fowler,friendOf,Bernadette Rostenkowski
Sheldon Cooper,hasPhD,Yes
Judy Greer,roleInTheBigBangTheory,Dr. Stephanie Barnett
Steven Molaro,occupation,Television writer
Mayim Bialik,roleIn,The Big Bang Theory
Amy Farrah Fowler,occupation,Neurobiologist
The Big Bang Theory,awardsWon,People's Choice Award
The Big Bang Theory,hasWriter,Chuck Lorre
Howard Wolowitz,education,Master's degree from MIT
The Lunar Excitation,featuresCharacter,Sheldon Cooper
Amy Farrah Fowler,friendOf,Penny
"The Big Bang Theory Season 3, Episode 23",director,Mark Cendrowski
Season 1,creator,Bill Prady
Steve Molaro,instanceOf,Person
Kate Micucci,instanceOf,Person
Simon Helberg,portrays,Howard Wolowitz
Sheldon Cooper,hasBestFriend,Raj Koothrappali
Sheldon Cooper,hasFriend,Raj Koothrappali
The Pork Chop Indeterminacy,episodeNumber,15
Amy Farrah Fowler,firstAppearance,"The Big Bang Theory Season 3, Episode 23"
"Season 1, Episode 15 (The Pork Chop Indeterminacy)",partOfSeries,The Big Bang Theory
Bernadette Rostenkowski-Wolowitz,firstAppearance,The Big Bang Theory Season 3
Courtney Henggeler,characterName,Missy Cooper
Young Sheldon,creator,Steven Molaro
Beverly Hofstadter,occupation,Neuroscientist
Debbie Wolowitz,motherOf,Howard Wolowitz
Kate Micucci,appearedIn,The Big Bang Theory
Halley Wolowitz,childOf,Bernadette Rostenkowski-Wolowitz
Season 12 of The Big Bang Theory,showrunner,Bill Prady
Debbie Wolowitz,occupation,Housewife
Sheldon Cooper,occupation,Theoretical Physicist
Bazinga!,instanceOf,Catchphrase
Season 1,mainCharacters,Leonard Hofstadter
Dr. Stephanie Barnett,romanticInterestOf,Leonard Hofstadter
Sheldon Cooper,favoriteFood,Thai Food
Jim Parsons,instanceOf,Actor
Penny,occupation,Pharmaceutical sales representative
Season 3,mainCast,Sara Gilbert
Bill Prady,occupation,Television producer
"The Big Bang Theory Season 3, Episode 23",writer,Steven Molaro
The Big Bang Theory,productionCompany,Chuck Lorre Productions
"The Big Bang Theory Season 3, Episode 23",title,The Lunar Excitation
Priya Koothrappali,hasRomanticRelationshipWith,Leonard Hofstadter
Sheldon Cooper,hasPersonalityTrait,Socially awkward
Bazinga!,usedBy,Sheldon Cooper
Chuck Lorre,occupation,Television producer
Mark Cendrowski,directedEpisodesOf,The Big Bang Theory
Howard Wolowitz,bestFriend,Rajesh Koothrappali
Jim Parsons,wonAward,Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series
Steve Molaro,workedOn,The Big Bang Theory
Bernadette Rostenkowski-Wolowitz,spouse,Howard Wolowitz
Rajesh Koothrappali,hasPhobia,Selective mutism
"The Big Bang Theory Season 3, Episode 23",mainCharacters,Penny
George Cooper Jr.,appearsIn,The Big Bang Theory
"The Big Bang Theory Season 3, Episode 23",instanceOf,TV episode
Allegra Hofstadter,occupation,Neuroscientist
Howard Wolowitz,family,Mother (Debbie Wolowitz)
Young Sheldon,genre,Sitcom
Steven Molaro,collaboratedWith,Chuck Lorre
Debbie Wolowitz,isMotherOf,Howard Wolowitz
"Season 1, Episode 15",title,The Pork Chop Indeterminacy
Leonard Hofstadter,hasFriend,Sheldon Cooper
Simon Helberg,childrenCount,2
Rati Gupta,occupation,Actress
Emily Sweeney,occupation,Dermatologist
Bernadette Rostenkowski,hasChild,Michael Wolowitz
Carol Ann Susi,deathYear,2014
Penny Hofstadter,characterTrait,Friendly
Dr. Stephanie Barnett,portrayedBy,Sara Rue
Mayim Bialik,instanceOf,Person
The Big Bang Theory,mainCharacter,Bernadette Rostenkowski-Wolowitz
Judy Greer,instanceOf,Person
Mark Cendrowski,occupation,Television director
The Lunar Excitation,director,Mark Cendrowski
Aarti Mann,roleInTheBigBangTheory,Priya Koothrappali
Season 12 of The Big Bang Theory,mainCast,Melissa Rauch
Sheldon Cooper,hasSpouse,Amy Farrah Fowler
Christine Baranski,instanceOf,Actress
Stuart Bloom,occupation,Comic book store owner
Mary Cooper,personalityTrait,Caring
Penny,instanceOf,Fictional Character
Season 11 of The Big Bang Theory,partOf,The Big Bang Theory
Mary Cooper,instanceOf,Character
The Big Bang Theory,themeMusicComposer,Barenaked Ladies
Amy Farrah Fowler,maritalStatus,Married to Sheldon Cooper
Sheldon Cooper,hasPersonalityTrait,Highly intelligent
George Cooper III,isFatherOf,George Cooper Jr.
Young Sheldon,instanceOf,TV series
George Cooper Jr.,spouse,Mary Cooper
Sheldon Cooper,hasPhobia,Change
George Cooper Jr.,instanceOf,Fictional character
Lucy,appearsIn,The Big Bang Theory
Courtney Henggeler,roleIn,The Big Bang Theory
Penny Hofstadter,characterTrait,Outgoing
Howard Wolowitz,hasChild,Halley Wolowitz
Season 1,numberOfEpisodes,17
Chuck Lorre,birthDate,1952-10-18
"Season 2, Episode 22",instanceOf,Episode
The Big Bang Theory Season 3,numberOfEpisodes,23
Raj Koothrappali,portrayedBy,Kunal Nayyar
Season 1,mainCharacters,Raj Koothrappali
Lucy,portrayedBy,Kate Micucci
Amy Farrah Fowler,personalityTrait,Socially awkward
CBS,broadcasted,The Big Bang Theory
Penny,residence,Apartment across from Leonard and Sheldon
Missy Cooper,isSiblingOf,Sheldon Cooper
"Season 1, Episode 15 (The Pork Chop Indeterminacy)",originalAirDate,"April 6, 2008"
The Big Bang Theory,mainCharacter,Penny
Penny,portrayedBy,Kaley Cuoco
The Pork Chop Indeterminacy,seasonNumber,1
Bill Prady,instanceOf,Person
Debbie Wolowitz,spouse,Howard Wolowitz
Season 3,mainCast,Kunal Nayyar
Season 3,partOf,The Big Bang Theory
Mark Cendrowski,knownFor,Directing The Big Bang Theory
The Big Bang Theory,mainCharacter,Amy Farrah Fowler
"Season 2, Episode 22",mainCharacters,Leonard Hofstadter
The Big Bang Theory Season 3,partOf,The Big Bang Theory
Leonard Hofstadter,hasMother,Beverly Hofstadter
Young Sheldon,network,CBS
George Cooper Jr.,occupation,Used car salesman
Chuck Lorre,knownFor,The Big Bang Theory
Kaley Cuoco,instanceOf,Person
Laura Spencer,knownFor,The Big Bang Theory
Leonard Hofstadter,hasSister,Allegra Hofstadter
Steve Molaro,role,Co-creator of Young Sheldon
Stuart Bloom,friendOf,Leonard Hofstadter
Kaley Cuoco,starredIn,The Big Bang Theory
Kunal Nayyar,nationality,British-Indian
Young Sheldon,genre,Comedy
George Cooper III,isFatherOf,Sheldon Cooper
Young Sheldon,timePeriod,1989-1990s
Haley Wolowitz,hasBrother,Michael Wolowitz
Sheldon Cooper,hasSibling,George Cooper Jr.
Melissa Rauch,instanceOf,Person
Bernadette Rostenkowski,portrayedBy,Melissa Rauch
Amy Farrah Fowler,hasPhD,Yes
Stuart Bloom,owns,The Comic Center
Raj Koothrappali,romanticInterest,Emily Sweeney
Sheldon Cooper,won,Nobel Prize in Physics
Kevin Sussman,instanceOf,Actor
Missy Cooper,firstAppearance,"Season 1, Episode 15 (The Pork Chop Indeterminacy)"
"Season 1, Episode 15",instanceOf,Episode
"Season 1, Episode 15",partOfSeason,Season 1
The Big Bang Theory,awardsWon,Primetime Emmy Award
Stuart Bloom,friendOf,Sheldon Cooper
Courtney Henggeler,instanceOf,Person
Jim Parsons,playedCharacter,Sheldon Cooper
Sheldon Cooper,hasFavoriteTVShow,Doctor Who
Rati Gupta,appearedInSeason,Season 12
Rati Gupta,roleInTheBigBangTheory,Anu
Allegra Hofstadter,appearsIn,The Big Bang Theory
Amy Farrah Fowler,instanceOf,Fictional Character
Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series,awardedTo,Jim Parsons
Sheldon Cooper,hasBestFriend,Leonard Hofstadter
Emily Sweeney,appearsIn,The Big Bang Theory
Season 11 of The Big Bang Theory,mainCast,Simon Helberg
Sheldon Cooper,hasFriend,Leonard Hofstadter
The Big Bang Theory,createdBy,Bill Prady
Cinnamon (dog),instanceOf,Dog
The Maternal Capacitance,director,Mark Cendrowski
The Big Bang Theory,premiereDate,"September 24, 2007"
The Big Bang Theory Season 3,originalNetwork,CBS
Mr. Wolowitz,fullName,Howard Wolowitz
Mary Cooper,portrayedBy,Laurie Metcalf
Priya Koothrappali,instanceOf,Fictional character
The Maternal Capacitance,writer,Steven Molaro
Chuck Lorre,occupation,Television writer
Sheldon Cooper,hasPhobia,Germs
The Big Bang Theory,numberOfSeasons,12
Penny,maritalStatus,Married to Leonard Hofstadter
Mrs. Wolowitz,isMotherOf,Howard Wolowitz
Allegra Hofstadter,parent,Leonard Hofstadter
Priya Koothrappali,appearsIn,The Big Bang Theory
Amy Farrah Fowler,portrayedBy,Mayim Bialik
The Pork Chop Indeterminacy,originalAirDate,2008-03-24
Debbie Wolowitz,instanceOf,Character
Emily Sweeney,instanceOf,Fictional character
Raj Koothrappali,appearsIn,The Big Bang Theory
Penny,occupation,Waitress
Season 1,mainCharacters,Penny
Kevin Sussman,profession,Actor
The Big Bang Theory Season 3,mainCast,Simon Helberg
Howard Wolowitz,livesIn,"Pasadena, California"
Raj Koothrappali,origin,"New Delhi, India"
Missy Cooper,relationToSheldon,Twin sister
Anu,instanceOf,Character
Rajesh Koothrappali,portrayedBy,Kunal Nayyar
"Season 2, Episode 22",partOfSeries,The Big Bang Theory
Jim Parsons,birthDate,1973-03-24
"Season 2, Episode 15",airDate,"February 2, 2009"
Sheldon Cooper,appearsIn,The Big Bang Theory
Bernadette Rostenkowski,hasChild,Haley Wolowitz
Amy Farrah Fowler,won,Nobel Prize in Physics
The Big Bang Theory Season 3,originalReleaseEndDate,2010-05-24
Mrs. Wolowitz,relationshipWithHoward,Overprotective mother
"Season 2, Episode 15",partOfSeries,The Big Bang Theory
"Season 2, Episode 22",director,Mark Cendrowski
Leonard Hofstadter's mother,profession,psychiatrist
Season 12 of The Big Bang Theory,finaleDate,"May 16, 2019"
"Season 1, Episode 15",director,Anthony Rich
Season 1,instanceOf,Season
Penny Hofstadter,marriedTo,Leonard Hofstadter
Young Sheldon,creator,Chuck Lorre
Simon Helberg,instanceOf,Actor
Raj Koothrappali,occupation,Astrophysicist
George Cooper III,marriedTo,Mary Cooper
Michael Wolowitz,instanceOf,Fictional character
Debbie Wolowitz,instanceOf,Fictional character
Priya Koothrappali,firstAppearance,Season 2
Leonard Hofstadter,hasFather,Alfred Hofstadter
Cinnamon (dog),owner,Howard Wolowitz
Beverly Hofstadter,relationshipWithLeonard,Distant and analytical
Christine Baranski,playedCharacter,Beverly Hofstadter
Bernadette Rostenkowski,characterTrait,High-pitched voice
Laura Spencer,characterOccupation,Dermatologist
Season 3,mainCast,Simon Helberg
The Maternal Capacitance,instanceOf,episode
Mary Cooper,firstAppearance,"Season 1, Episode 15"
Raj Koothrappali,romanticInterest,Lucy
Carol Ann Susi,characterName,Mrs. Wolowitz
Carol Ann Susi,voiceRole,Mrs. Wolowitz
Leonard Hofstadter,hasPhDIn,Physics
Penny Hofstadter,appearsIn,The Big Bang Theory
The Maternal Capacitance,episodeNumber,15
Season 3,originalReleaseEndDate,2010-05-24
Season 11 of The Big Bang Theory,showrunner,Bill Prady
Simon Helberg,birthDate,"December 9, 1980"
Kunal Nayyar,instanceOf,Actor
Debbie Wolowitz,characterTrait,Overbearing mother
Leonard Hofstadter,portrayedBy,Johnny Galecki
Season 11 of The Big Bang Theory,mainCast,Kaley Cuoco
"Season 1, Episode 15",writer,Chuck Lorre
Penny,characterTrait,Friendly
Steven Molaro,role,Writer for The Big Bang Theory
Season 11 of The Big Bang Theory,genre,Sitcom
Rajesh Koothrappali,hasNationality,Indian
Season 12 of The Big Bang Theory,mainCast,Kaley Cuoco
Amy Farrah Fowler,gender,Female
Season 12 of The Big Bang Theory,mainCast,Mayim Bialik
Haley Wolowitz,portrayedBy,Melanie Lynskey
Bernadette Rostenkowski-Wolowitz,hasChild,Michael Wolowitz
The Lunar Excitation,episodeNumber,23
Rajesh Koothrappali,hasFriend,Howard Wolowitz
Penny Hofstadter,instanceOf,Fictional character
Sheldon Cooper,hasFavoriteVideoGame,Age of Conan
The Pork Chop Indeterminacy,instanceOf,episode
Penny,instanceOf,Fictional character
Season 1,mainCharacters,Sheldon Cooper
Bernadette Rostenkowski,spouse,Howard Wolowitz
Penny,characterTrait,Outgoing
"Season 1, Episode 15 (The Pork Chop Indeterminacy)",instanceOf,TV series episode
Sam Wolowitz,instanceOf,Character
"Season 2, Episode 22",mainCharacters,Penny
Melissa Rauch,roleInTheBigBangTheory,Bernadette Rostenkowski-Wolowitz
The Big Bang Theory Season 3,genre,Sitcom
"Season 1, Episode 15 (The Pork Chop Indeterminacy)",title,The Pork Chop Indeterminacy
Season 1,originalReleaseDate,"September 24, 2007"
Season 11 of The Big Bang Theory,mainCast,Melissa Rauch
Michael Wolowitz,relation,Bernadette Rostenkowski-Wolowitz
Steven Molaro,contributedTo,Episodes of The Big Bang Theory
The Big Bang Theory Season 3,mainCast,Kaley Cuoco
Jim Parsons,birthPlace,"Houston, Texas, USA"
Anu,portrayedBy,Rati Gupta
Season 1,creator,Chuck Lorre
Amy Farrah Fowler,hasSpouse,Sheldon Cooper
Bill Prady,role,Executive producer of The Big Bang Theory
Bernadette Rostenkowski-Wolowitz,personalityTrait,Sweet
Season 12 of The Big Bang Theory,mainCast,Johnny Galecki
Leonard Hofstadter,hasFriend,Howard Wolowitz
Season 12 of The Big Bang Theory,numberOfEpisodes,24
Mr. Wolowitz,hasChild,Haley Wolowitz
Simon Helberg,occupation,Comedian
Courtney Henggeler,appearedInSeason,Season 11 of The Big Bang Theory
Rati Gupta,appearedInSeason,Season 11
George Cooper III,instanceOf,Fictional character
Warner Bros. Television,produced,The Big Bang Theory
George Cooper Jr.,isFatherOf,Missy Cooper
Haley Wolowitz,isDaughterOf,Howard Wolowitz
Season 3,mainCast,Kaley Cuoco
"The Big Bang Theory Season 3, Episode 23",seasonNumber,3
Dr. Stephanie Barnett,occupation,Doctor
Howard Wolowitz,spouse,Bernadette Rostenkowski-Wolowitz
Cinnamon (dog),appearsIn,The Big Bang Theory
Penny,spouse,Leonard Hofstadter
Howard Wolowitz,instanceOf,Character
Rajesh Koothrappali,instanceOf,Fictional character
The Lunar Excitation,partOf,The Big Bang Theory
"Season 1, Episode 15 (The Pork Chop Indeterminacy)",partOfSeason,Season 1
The Big Bang Theory Season 3,mainCast,Melissa Rauch
Season 3,instanceOf,Season of The Big Bang Theory
Caltech,instanceOf,University
Rajesh Koothrappali,occupation,Astrophysicist
Season 12 of The Big Bang Theory,network,CBS
Sheldon Cooper and Amy Farrah Fowler,won,Nobel Prize in Physics
Penny,occupation,Pharmaceutical Sales Representative
Stuart Bloom,hasRomanticInterest,Penny
Debbie Wolowitz,characterTrait,Loud voice
Raj Koothrappali,romanticInterest,Anu
Priya Koothrappali,occupation,Lawyer
Debbie Wolowitz,marriedTo,Sam Wolowitz
Stuart Bloom,hasRomanticInterest,Amy Farrah Fowler
Missy Cooper,gender,Female
Bernadette Rostenkowski-Wolowitz,occupation,Microbiologist
Raj Koothrappali,hasPet,Cinnamon (dog)
Chuck Lorre Productions,produced,The Big Bang Theory
The Lunar Excitation,writer,Steven Molaro
Rajesh Koothrappali,livesIn,"Pasadena, California"
Michael Wolowitz,relation,Haley Wolowitz
Amy Farrah Fowler,instanceOf,Fictional character
Laurie Metcalf,actedIn,The Big Bang Theory
Leonard Hofstadter,instanceOf,Fictional Character
Mary Cooper,appearsIn,The Big Bang Theory
Bernadette Rostenkowski-Wolowitz,instanceOf,Character
Kate Micucci,roleInTheBigBangTheory,Lucy
"The Big Bang Theory Season 3, Episode 23",airDate,"May 3, 2010"
Young Sheldon,mainCharacter,Sheldon Cooper
Season 3,numberOfEpisodes,23
Season 11 of The Big Bang Theory,originalNetwork,CBS
Season 3,mainCast,Melissa Rauch
"Season 2, Episode 22",mainCharacters,Sheldon Cooper
Season 12 of The Big Bang Theory,mainCast,Jim Parsons
Kaley Cuoco,birthDate,"November 30, 1985"
Dr. Stephanie Barnett,occupation,Surgeon
Penny,hasRomanticRelationshipWith,Leonard Hofstadter
The Big Bang Theory,hasWriter,Bill Prady
George Cooper III,occupation,Football player
Nobel Prize in Physics,awardedFor,Outstanding contributions in Physics
The Maternal Capacitance,partOf,The Big Bang Theory
Mayim Bialik,characterName,Amy Farrah Fowler
Sheldon Cooper,hasFavoriteComic,The Flash
Howard Wolowitz,appearsIn,The Big Bang Theory
Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series,instanceOf,Award
Christine Baranski,actedIn,The Big Bang Theory
"Season 1, Episode 15",airDate,"March 2, 2008"
Leonard Hofstadter's father,instanceOf,Character
Nobel Prize in Physics,instanceOf,Award
Steve Molaro,workedOn,Young Sheldon
Courtney Henggeler,appearedInSeason,Season 12 of The Big Bang Theory
Rajesh Koothrappali,romanticInterest,Lucy
"The Big Bang Theory Season 3, Episode 23",mainCharacters,Howard Wolowitz
Kunal Nayyar,actedIn,The Big Bang Theory
Nobel Prize in Physics,mentionedIn,The Big Bang Theory
Halley Wolowitz,childOf,Howard Wolowitz
Bill Prady,occupation,Television writer
Season 11 of The Big Bang Theory,finaleDate,"May 10, 2018"
Howard Wolowitz,worksAt,Caltech
Leonard Hofstadter,occupation,Experimental Physicist
Mark Cendrowski,instanceOf,Person
Mayim Bialik,firstAppearanceInSeries,Season 3
