subject,predicate,object
DAX 30,country,Germany
Adidas,sector,Consumer Discretionary
Volkswagen Group,revenue,€250 billion (2023)
BAS,fullName,BASF SE
DAX 40 Index,hasConstituentCompany,BASF
Porsche AG,listedIn,DAX 40 Index
Klaus Tschira,knownFor,Co-founding SAP SE
DAX 30,instanceOf,Stock Market Index
Deutsche Post AG,revenue,Over 80 billion euros (2023)
Siemens Energy AG,industry,Energy
Volkswagen,headquarters,"Wolfsburg, Germany"
Fresenius SE & Co. KGaA,instanceOf,Company
^GDAXI,represents,DAX 40 Index
Volkswagen Group,brands,Škoda
Werner von Siemens,occupation,Industrialist
Merck,instanceOf,Company
DAX 40 Index,hasConstituentCompany,Henkel
DAX 40 Index,hasConstituentCompany,SAP
Volkswagen,founded,1937
Euro,usedIn,Eurozone
Germany,hasStockMarketIndex,DAX 40 Index
Klaus Tschira,occupation,Entrepreneur
Fresenius Helios,foundedYear,2005
BAYN,instanceOf,Company
Porsche,marketCapitalization,Large-cap
Audi,parentCompany,Volkswagen Group
Volkswagen AG,brands,Audi
Leonhard Birnbaum,instanceOf,Person
Daimler AG,products,Mercedes-Benz cars
Mercedes-Benz Group AG,tickerSymbol,MBG
ZAL,instanceOf,Company
Hans-Werner Hector,occupation,Engineer
MRK,memberOf,DAX 40 Index
Henkel AG & Co. KGaA,foundedIn,1876
Deutsche Telekom,CEO,Timotheus Höttges
Continental,numberOfEmployees,"~190,000 (2023)"
Rolf Buch,associatedWith,DAX 40 Index
Fresenius Medical Care,revenue,Approximately 20 billion EUR (2023)
DAX 40 Index,rebalancingFrequency,Quarterly
Werner Baumann,occupation,Business Executive
Fresenius Kabi,parentCompany,Fresenius SE & Co. KGaA
SEAT,headquarters,"Martorell, Spain"
DAX 40 Index,hasConstituentCompany,Delivery Hero
Adidas,listedIn,DAX 40 Index
Infineon Technologies,CEO,Jochen Hanebeck
Siemens,foundedYear,1847
Deutsche Bank AG,founded,1870
RWE AG,revenue,€13.7 billion (2022)
Infineon Technologies,products,Semiconductor and system solutions
Deutsche Bank,stockTicker,DBK
Siemens AG,products,Industrial automation
DAX 40 Index,hasConstituentCompany,Infineon Technologies
E.ON,CEO,Leonhard Birnbaum
Bentley,parentCompany,Volkswagen Group
Fresenius Medical Care,foundedYear,1996
Performance Materials,instanceOf,Company
DAX 40 Index,indexSymbol,^GDAXI
Siemens Healthineers,instanceOf,Company
Deutsche Börse,headquarters,"Frankfurt, Germany"
Delivery Hero,headquarters,"Berlin, Germany"
MRK,instanceOf,Company
HeidelbergCement,tickerSymbol,HEI
Bayer,products,Consumer Health Products
Mercedes-Benz Group AG,instanceOf,Company
Škoda,parentCompany,Volkswagen Group
LIN,industry,Industrial Gases
HelloFresh,industry,Meal Kit Delivery
Symrise,founded,2003
BASF SE,instanceOf,Company
Puma,listedIn,DAX 40 Index
Jochen Hanebeck,occupation,Chief Executive Officer
DAX 40,includesCompany,Porsche
Frankfurt Stock Exchange,marketType,Equity Market
DAX 40 Index,includesCompanies,Zalando
Münchener Rück,CEO,Joachim Wenning
DAX 40 Index,hasConstituentCompany,Puma
DAX 40 Index,hasConstituentCompany,Fresenius Medical Care
Porsche,headquarters,"Stuttgart, Germany"
Porsche AG,stockExchange,Frankfurt Stock Exchange
DAX 40 company,instanceOf,company
Performance Materials,industry,Specialty Chemicals
Klaus Tschira,birthYear,1940
Hans-Werner Hector,instanceOf,Person
BAYN,ISIN,DE000BAY0017
Fresenius Vamed,headquarters,"Vienna, Austria"
Merck,stockTicker,MRK
HeidelbergCement,headquarters,"Heidelberg, Germany"
Frank Appel,position,CEO
Bayer MaterialScience,instanceOf,Company
Bayer AG,industry,Chemicals
DBK,stockExchange,Frankfurt Stock Exchange
SAP,products,Enterprise software
Oliver Bäte,position,CEO of Allianz SE
Deutsche Börse,manages,DAX 40 Index
VOW3,ISIN,DE0007664039
Delivery Hero,foundedIn,2011
Merck,country,Germany
FRE,headquarters,"Bad Homburg, Germany"
VOW3,listedIn,DAX 40 Index
SHL,headquarters,United Kingdom
ADS,headquarters,Germany
ZAL,industry,E-commerce
Deutsche Post,founded,1995
SAP,employees,"Over 100,000"
Mercedes-Benz Group AG,foundedYear,1926
MUV2,listedOn,DAX 40 Index
Frank Appel,company listed in,DAX 40 Index
Audi,industry,Automotive
Adidas,foundedIn,1949
Münchener Rück,headquarters,"Munich, Germany"
Symrise,stockExchange,Frankfurt Stock Exchange
DAX 40 Index,hasConstituentCompany,Merck
DAX 40 Index,country,Germany
SIE,industry,Energy
Continental,stockExchange,Frankfurt Stock Exchange
Continental AG,tickerSymbol,CON
DAX 40,includesCompany,Fresenius
Delivery Hero,listedIn,DAX 40 Index
Continental AG,headquarters,"Hanover, Germany"
Fresenius Kabi,industry,Pharmaceuticals and Healthcare
Qiagen,industry,Biotechnology
Martin Daum,occupation,Business Executive
SAP,headquarters,"Walldorf, Germany"
DAX 40 Index,includesCompanies,Adidas
Kering,wasListedOn,DAX 40 Index
BASF SE,memberOfIndex,DAX 40 Index
IFX,industry,Technology
Allianz,componentOf,DAX 40 Index
DBK,CEO,Christian Sewing
DAX 40 Index,includesCompanies,BMW
E.ON,headquarters,"Essen, Germany"
Fresenius,memberOf,DAX 40 Index
SAP SE,founded,1972
MRK,country,Germany
Deutsche Börse AG,instanceOf,Company
Daimler Truck AG,headquarters,Germany
Daimler AG,products,Buses
Vonovia,foundedYear,2001
Mercedes-Benz Group AG,products,Commercial vehicles
BMW,headquarters,"Munich, Germany"
Deutsche Börse AG,founded,1992
E.ON,tickerSymbol,EOAN
Hasso Plattner,occupation,Philanthropist
DAX 30 Index,numberOfConstituents,30
Deutsche Bank,sector,Financials
SAP,industry,Software
Bayer AG,CEO,Werner Baumann
SAP,founders,Klaus Tschira
Porsche AG,tickerSymbol,PAH3
Puma,industry,Sportswear
Markus Duesmann,instanceOf,Person
Audi,stockExchange,Frankfurt Stock Exchange
Fresenius,instanceOf,Company
Fresenius Kabi,instanceOf,Company
MTX,country,Germany
Munich Re,stockExchange,Frankfurt Stock Exchange
RWE,industry,Energy
Siemens,memberOfIndex,DAX 40
FRE,fullName,Fresenius SE & Co. KGaA
Deutsche Post,stockExchange,Frankfurt Stock Exchange
Niklas Östberg,instanceOf,Person
Frankfurt Stock Exchange,operatesIndex,DAX 40
Volkswagen AG,brands,SEAT
Covestro,industry,Chemicals
Allianz,industry,Financial Services
HEN3,represents,Henkel AG & Co. KGaA
DAX 40 Index,includesCompanies,BASF
HEI,listedIn,DAX 40 Index
Dortmund,headquarters,"Dortmund, Germany"
Belén Garijo,instanceOf,Person
Škoda,listedIn,DAX 40 Index
BMW,instanceOf,Company
Bayer,industry,Pharmaceuticals
Henkel,products,Laundry & Home Care
DBK,industry,Financial Services
Linde,stockExchange,Frankfurt Stock Exchange
SAP SE,website,www.sap.com
Henkel,instanceOf,Company
SEAT,founded,1950
ADS,listedIn,DAX 40 Index
Volkswagen AG,headquarters,"Wolfsburg, Germany"
Adolf Dassler,nationality,German
Bugatti,knownFor,Luxury sports cars
DAX 40 Index,includesCompanies,Henkel
DBK,sector,Banking
Porsche AG,marketCapitalization,High
Siemens Energy,headquarters,Munich
Symrise,numberOfEmployees,"Around 10,000 (2023)"
DAX 40 company,listedOn,Frankfurt Stock Exchange
HEI,headquarters,"Hamburg, Germany"
Volkswagen AG,founded,1937
EOAN,headquarters,Germany
BASF,industry,Chemicals
Linde,headquarters,Germany
DAX 40 Index,includesCompanies,Volkswagen
Audi,instanceOf,Company
PAH3,instanceOf,Company
Oliver Blume,nationality,German
Siemens Energy,country,Germany
Claus Wellenreuther,occupation,Software Developer
DAX 40 Index,hasConstituentCompany,Porsche
Ola Källenius,occupation,Chairman of the Supervisory Board of Daimler AG
SAP SE,memberOf,DAX 40 Index
Covestro,products,Polycarbonates
Fresenius Helios,stockExchange,Frankfurt Stock Exchange
DBK,foundedYear,1870
Bayer AG,industry,Pharmaceuticals
Deutsche Post,instanceOf,Company
Werner von Siemens,instanceOf,Person
DAX 40 Index,hasConstituentCompany,Deutsche Post
DAX 40 Index,includesCompanies,Infineon Technologies
Bad Homburg,locatedIn,Germany
"Walldorf, Germany",headquartersOf,SAP SE
Deutsche Börse,founded,1992
HelloFresh,tickerSymbol,HFG
Symrise,componentOf,DAX 40 Index
Bugatti,country,France
Nikolai Setzer,position,CEO of Continental AG
Porsche,instanceOf,Company
Dietmar Hopp,instanceOf,Person
Deutsche Telekom,foundedYear,1996
Münchener Rück,industry,Reinsurance
Dominik Richter,instanceOf,Person
BAS,instanceOf,Company
RWE AG,numberOfEmployees,"~19,000 (2023)"
Daimler Truck AG,stockExchange,Frankfurt Stock Exchange
Niklas Östberg,occupation,Business Executive
Bugatti,instanceOf,Automobile Manufacturer
DAX 30,currency,Euro
DAX 40 Index,includesCompanies,Puma
SAP SE,founders,Dietmar Hopp
Deutsche Post,employees,"Over 500,000 (2023)"
European Central Bank,instanceOf,Central Bank
Frankfurt Stock Exchange,tradingHours,09:00 to 17:30 CET
Deutsche Bank AG,industry,Financial Services
"Walldorf, Germany",locatedIn,Germany
Bad Homburg,relatedTo,DAX 40 Index
Porsche AG,industry,Automotive
Christian Sewing,position,CEO of Deutsche Bank
Stefan Oelrich,instanceOf,Person
Volkswagen Group,brands,Audi
Bayer,products,Pharmaceuticals
DAX 40,includesCompany,Symrise
DAX 40 Index,hasConstituentCompany,Fresenius
NSU (historical),country,Germany
Martin Brudermüller,instanceOf,Person
Hasso Plattner,co-founderOf,SAP SE
HEN3,instanceOf,Stock Ticker Symbol
HelloFresh,founders,Dominik Richter
Volkswagen AG,brands,Porsche
Fresenius SE & Co. KGaA,founded,1912
Mercedes-Benz Group AG,formerName,Daimler AG
Henkel,headquarters,"Düsseldorf, Germany"
MTU Aero Engines,headquarters,"Munich, Germany"
Delivery Hero,tickerSymbol,DHER
DAX 40,includesCompany,Allianz
Siemens Energy AG,stockExchange,Frankfurt Stock Exchange
Adhesive Technologies,industry,Adhesives and Sealants
DAX 40 Index,launchDate,1988
SAP SE,founders,Claus Wellenreuther
Hasso Plattner,knownFor,Co-founding SAP SE
Henkel AG & Co. KGaA,headquarters,"Düsseldorf, Germany"
Delivery Hero,CEO,Niklas Östberg
Rhine-Ruhr Metropolitan Region,instanceOf,Metropolitan Region
Siemens Energy,foundedYear,2020
Linde,componentOf,DAX 40 Index
MTU Aero Engines,industry,Aerospace
DAX 30 Index,currency,Euro
EOAN,tickerSymbol,EOAN
Oliver Bäte,instanceOf,Person
Allianz,stockExchange,Frankfurt Stock Exchange
Fresenius SE & Co. KGaA,industry,Healthcare
SHL,wasComponentOf,DAX 40 Index
Hasso Plattner,occupation,Entrepreneur
Fresenius SE & Co. KGaA,headquarters,"Bad Homburg, Germany"
Siemens Energy AG,founded,2020
MTU Aero Engines,instanceOf,Company
"Hilden, Germany",economicRegion,Rhine-Ruhr Metropolitan Region
Fresenius Medical Care,instanceOf,Company
SAP,products,ERP software
Bayer,stockExchange,Frankfurt Stock Exchange
HEI,industry,Energy
Henkel AG & Co. KGaA,tickerSymbol,HEN3
NSU (historical),industry,Automotive
Werner von Siemens,occupation,Inventor
LIN,listedIn,DAX 40 Index
Puma,parentCompany,Kering (until 2018)
LIN,stockTicker,LIN
Zalando,businessFocus,Online fashion retail
FRE,ISIN,DE0005785604
BAS,headquarters,"Ludwigshafen, Germany"
Fresenius,industry,Healthcare
Xetra,location,"Frankfurt, Germany"
Deutsche Börse,operates,Frankfurt Stock Exchange
Euro,introduced,1999
Xetra trading system,usedBy,DAX 40 Index
DAX 40 Index,hasConstituentCompany,Vonovia
Daimler Truck AG,products,Trucks
Qiagen,instanceOf,Company
Adolf Dassler,deathYear,1978
DAX 40,includesCompany,Siemens Energy
VOW3,industry,Automotive
Volkswagen Group,CEO,Oliver Blume
Christian Klein,occupation,Business Executive
Münchener Rück,revenue,€54.9 billion (2022)
E.ON,revenue,€60 billion (approximate)
Volkswagen,products,Automobiles
Bayer AG,stockExchange,Frankfurt Stock Exchange
DE0008404005,instanceOf,ISIN
RWE AG,headquarters,"Essen, Germany"
Bayer,headquarters,"Leverkusen, Germany"
^GDAXI,market,Frankfurt Stock Exchange
SAP SE,instanceOf,Company
DAX 40,includesCompany,Deutsche Telekom
Volkswagen,instanceOf,Company
Xetra trading system,launchYear,1997
1COV,industry,Pharmaceuticals
BASF SE,CEO,Martin Brudermüller
DAX 40,includesCompany,Deutsche Börse
Ola Källenius,occupation,Chairman of the Supervisory Board of Mercedes-Benz Group AG
Bayer,instanceOf,Company
BMW,country,Germany
Claus Wellenreuther,instanceOf,Person
Puma,stockExchange,Frankfurt Stock Exchange
DTE,stockExchange,Frankfurt Stock Exchange
Continental,CEO,Nikolai Setzer
MTX,instanceOf,Company
BAYN,foundedYear,1863
Daimler Truck AG,industry,Commercial Vehicles
Deutsche Börse AG,operates,Frankfurt Stock Exchange
Fresenius Helios,headquarters,Berlin
HeidelbergCement,industry,Building materials
Klaus Tschira,instanceOf,Person
Euro,usedBy,Germany
Henkel AG & Co. KGaA,listedIn,DAX 40 Index
Germany,currency,Euro
Deutsche Telekom,industry,Telecommunications
Christian Sewing,relatedTo,DAX 40 Index
DBK,tickerSymbol,DBK
Munich Re,sector,Financials
DAX 40 Index,benchmarkFor,German equity market
Delivery Hero,industry,Online Food Delivery
Eurozone,instanceOf,economic region
Deutsche Post AG,CEO,Frank Appel
Merck,CEO,Belén Garijo
HeidelbergCement,instanceOf,Company
SIE,stockExchange,Frankfurt Stock Exchange
PUM,listedIn,DAX 40 Index
Deutsche Telekom,numberOfEmployees,"over 200,000"
Bayer AG,products,Consumer health products
Merck Group,instanceOf,Company
BMW,products,Motorcycles
Xetra trading system,instanceOf,Electronic trading platform
DAX 30 Index,operator,Deutsche Börse
Siemens Energy,tickerSymbol,ENR
Bayer AG,headquarters,"Leverkusen, Germany"
RWE,founded,1898
Adidas,instanceOf,Company
Bugatti,foundedBy,Ettore Bugatti
Porsche,foundedIn,1931
Markus Duesmann,occupation,Automotive Executive
Siemens AG,stockExchange,Frankfurt Stock Exchange
DAX 40 Index,hasConstituentCompany,Symrise
Daimler Truck,products,Buses
Fresenius,stockExchange,Frankfurt Stock Exchange
Fresenius,tickerSymbol,FRE
Xetra trading system,operatedBy,Deutsche Börse
Fresenius Kabi,stockExchange,Frankfurt Stock Exchange
Volkswagen AG,brands,Lamborghini
Merck Group,products,Life Science
Puma,foundedBy,Rudolf Dassler
Deutsche Telekom,headquarters,Bonn
DAX 40,currency,Euro
DAX 40 Index,hasConstituentCompany,Allianz
Puma,headquarters,"Herzogenaurach, Germany"
Merck,headquarters,Darmstadt
Puma,instanceOf,Company
Siemens,products,Energy
Škoda,industry,Automotive
SEAT,country,Spain
E.ON,stockExchange,Frankfurt Stock Exchange
Henkel,foundedIn,1876
ADS,industry,Automotive
Deutsche Bank AG,instanceOf,Company
SAP,website,www.sap.com
Covestro,stockExchange,Frankfurt Stock Exchange
DPW,listedIn,DAX 40 Index
E.ON,industry,Energy
SIE,instanceOf,Company
DAX 40,instanceOf,stock market index
Thomas Griesel,instanceOf,Person
Deutsche Post AG,industry,Logistics
Qiagen,headquarters,"Hilden, Germany"
Volkswagen,componentOf,DAX 40 Index
Daimler Truck AG,listedIn,DAX 40 Index
Ettore Bugatti,deathDate,1947
Fresenius,headquarters,"Bad Homburg, Germany"
Symrise,instanceOf,Company
Fresenius Kabi,headquarters,"Bad Homburg, Germany"
European Central Bank,responsibleFor,Monetary policy of the Eurozone
RWE AG,CEO,Dr. Markus Krebber
Merck Group,stockTicker,MRK
Continental,instanceOf,Company
DAX 30,replacedBy,DAX 40
Kering,instanceOf,Company
Euro,symbol,€
Munich Re,headquarters,"Munich, Germany"
Xetra trading system,function,Facilitates electronic trading of stocks and securities
Dortmund,marketCapitalization,Large Cap
Germany,capital,Berlin
SAP SE,headquarters,"Walldorf, Germany"
Covestro,memberOf,DAX 40 Index
BASF,stockExchange,Frankfurt Stock Exchange
VOW3,tickerSymbol,VOW3
DAX 40,includesCompany,Covestro
Adhesive Technologies,instanceOf,Company
Munich Re,memberOf,DAX 40 Index
Volkswagen,CEO,Oliver Blume
Covestro,headquarters,"Leverkusen, Germany"
Deutsche Post,memberOf,DAX 40 Index
Deutsche Bank,instanceOf,Company
DAX 40 Index,hasConstituentCompany,Siemens Energy
Fresenius,businessSegments,Fresenius Helios
Merck,listedIn,DAX 40 Index
Covestro,instanceOf,Company
SAP SE,industry,Software
DAX 40,includesCompany,E.ON
Daimler AG,products,Trucks
SAP,founders,Dietmar Hopp
Deutsche Bank,industry,Financial Services
DAX 40,includesCompany,Continental
Deutsche Börse,instanceOf,Company
Adidas,products,Footwear
SAP SE,founders,Hans-Werner Hector
Volkswagen Group,brands,Porsche
DTE,industry,Energy
DAX 40 Index,hasConstituentCompany,Deutsche Telekom
MTU Aero Engines,founded,1934
DAX 40 Index,includesCompanies,Vonovia
LIN,sector,Basic Materials
Porsche AG,founded,1931
^GDAXI,operatedBy,Deutsche Börse
DAX 40,includesCompany,Siemens
Volkswagen Group,tickerSymbol,VOW3
SAP,revenue,Over 30 billion euros (approximate)
MTU Aero Engines,products,Aircraft engines
DAX 40 Index,hasConstituentCompany,Deutsche Börse
Henkel AG & Co. KGaA,knownFor,Adhesive Technologies
Bayer MaterialScience,industry,Chemical industry
Christian Sewing,bornIn,1970
Adidas,headquarters,"Herzogenaurach, Germany"
Joachim Wenning,position,Chairman of the Supervisory Board
Linde,instanceOf,Company
^GDAXI,instanceOf,Stock Market Index
Adidas,products,Accessories
DAX 40,includesCompany,Siemens Healthineers
SAP SE,founders,Hasso Plattner
HeidelbergCement,foundedIn,1874
Daimler AG,founded,1926
Bayer,founded,1863
Siemens Energy,spinOffFrom,Siemens AG
Deutsche Post AG,stockExchange,Frankfurt Stock Exchange
ADS,instanceOf,Company
DAX 40 Index,hasConstituentCompany,Qiagen
SAP,founders,Claus Wellenreuther
LIN,marketCapitalization,Large Cap
Werner von Siemens,founderOf,Siemens AG
Fresenius Vamed,industry,Healthcare Services
HEI,stockTicker,HEI
Jochen Hanebeck,position,CEO of DAX 40 Index constituent company
Bad Homburg,instanceOf,City
Deutsche Börse AG,instanceOf,company
Continental,products,Brake Systems
Deutsche Telekom,stockExchange,Frankfurt Stock Exchange
1COV,instanceOf,Company
E.ON,founded,2000
Performance Materials,headquarters,Germany
Eurozone,currency,Euro
DAX 40,includesCompany,Linde
IFX,instanceOf,Company
Bayer MaterialScience,parentCompany,Bayer AG
Thomas Griesel,employer,DAX 40 Index constituent company
DAX 40,includesCompany,Münchener Rück
Volkswagen,industry,Automotive
Audi,headquarters,"Ingolstadt, Germany"
Xetra,launchYear,1997
Deutsche Börse AG,headquarters,"Frankfurt, Germany"
DAX 40 Index,includesCompanies,Symrise
Peer M. Schatz,industry,Biotechnology
Christian Sewing,instanceOf,Person
Deutsche Post,revenue,Over 80 billion euros (2023)
Niklas Östberg,companyListedOn,DAX 40 Index
BAYN,fullName,Bayer AG
Thomas Griesel,occupation,Chief Financial Officer
Euro,usedBy,Italy
EOAN,stockExchange,Frankfurt Stock Exchange
BASF,sector,Basic Materials
Fresenius Medical Care,tickerSymbol,FME
DAX 40 Index,currency,Euro
Martin Daum,instanceOf,Person
DAX 40 Index,includesCompanies,Allianz
Dr. Heinz-Jürgen Bertram,position,CEO of Covestro
Jochen Hanebeck,instanceOf,Person
Volkswagen AG,memberOfIndex,DAX 40 Index
Henkel,marketCapitalization,Large Cap
"Hilden, Germany",locatedIn,Germany
DAX 40 Index,includesCompanies,SAP
Qiagen,stockExchange,Frankfurt Stock Exchange
Fresenius Vamed,partOfIndex,DAX 40 Index
Siemens AG,founded,1847
Fresenius Medical Care,industry,Healthcare
Daimler AG,listedIn,DAX 40 Index
Fresenius Medical Care,headquarters,"Bad Homburg, Germany"
DAX 40 Index,instanceOf,stock market index
Münchener Rück,numberOfEmployees,"39,000 (2022)"
DAX 40 Index,hasConstituentCompany,HelloFresh
Qiagen,tickerSymbol,QIA
BASF,headquarters,"Ludwigshafen, Germany"
DBK,fullName,Deutsche Bank AG
Volkswagen,stockExchange,Frankfurt Stock Exchange
Zalando,listedIn,DAX 40 Index
Siemens Energy AG,instanceOf,Company
Daimler AG,stockExchange,Frankfurt Stock Exchange
Siemens Energy,stockExchange,Frankfurt Stock Exchange
Münchener Rück,stockExchange,Frankfurt Stock Exchange
PUM,industry,Medical Technology
Bayer AG,products,Agricultural chemicals
Fresenius Helios,country,Germany
Christian Sewing,employer,Deutsche Bank
HelloFresh,listedIn,DAX 40 Index
Siemens Energy,focus,Energy technology and services
Siemens,headquarters,"Munich, Germany"
Zalando,stockExchange,Frankfurt Stock Exchange
Xetra trading system,supports,Order book trading
Daimler Truck AG,tickerSymbol,DTG
DAX 40,includesCompany,Daimler Truck
Hans-Werner Hector,co-founderOf,SAP SE
DAX 40,includesCompany,Adidas
LIN,headquarters,Germany
PAH3,isComponentOf,DAX 40 Index
Allianz,instanceOf,Company
Symrise,revenue,Approximately 4 billion EUR (2023)
Munich Re,tickerSymbol,MUV2
Deutsche Telekom,revenue,€80 billion (approximate)
DAX 40 Index,hasConstituentCompany,E.ON
DAX 40,includesCompany,BMW
DAX 40 Index,hasConstituentCompany,Continental
VOW3,marketCapitalization,One of the largest in DAX 40
Klaus Tschira,occupation,Physicist
Deutsche Bank,headquarters,"Frankfurt, Germany"
EOAN,industry,Renewable Energy
Dortmund,listedIn,DAX 40 Index
DAX 40 Index,includesCompanies,Fresenius Medical Care
Daimler Truck AG,foundedYear,2021
DPW,industry,Logistics
Merck Group,headquarters,"Darmstadt, Germany"
DAX 40,includesCompany,MTU Aero Engines
DAX 30 Index,country,Germany
Frankfurt Stock Exchange,instanceOf,Stock Exchange
Deutsche Post AG,tickerSymbol,DPW
Joachim Wenning,instanceOf,Person
DAX 40 Index,hasConstituentCompany,Siemens
Euro,ISOCode,EUR
Henkel,listedIn,DAX 40 Index
SHL,knownFor,Talent Assessment and People Analytics
DAX 30 Index,instanceOf,Stock Market Index
Deutsche Börse AG,owns,Xetra trading system
NSU (historical),knownFor,Motorcycles
Rolf Buch,instanceOf,Person
Dr. Heinz-Jürgen Bertram,company,Covestro
Volkswagen Group,industry,Automotive
Siemens,instanceOf,Company
Dr. Heinz-Jürgen Bertram,instanceOf,Person
Continental,tickerSymbol,CON
Continental,headquarters,"Hanover, Germany"
Fresenius SE & Co. KGaA,stockExchange,Frankfurt Stock Exchange
DAX 40 Index,hasConstituentCompany,Siemens Healthineers
Fresenius Helios,parentCompany,Fresenius SE & Co. KGaA
SHL,instanceOf,Company
Fresenius SE & Co. KGaA,tickerSymbol,FRE
FRE,listedIn,DAX 40 Index
Deutsche Börse AG,stockExchange,Frankfurt Stock Exchange
BASF,tickerSymbol,BAS
Henkel AG & Co. KGaA,stockExchange,Frankfurt Stock Exchange
Germany,location,Europe
Daimler AG,stockSymbol,DAI
Deutsche Telekom,country,Germany
SIE,fullName,Siemens Energy AG
QIA,instanceOf,Company
DAX 30,operator,Deutsche Börse
FRE,stockExchange,Frankfurt Stock Exchange
DAI,industry,Automotive
Dortmund,industry,Steel and Technology
BASF SE,industry,Chemicals
Ola Källenius,relationToDAX40,"Chairman of the Supervisory Board of Mercedes-Benz Group AG, a DAX 40 constituent company"
Symrise,CEO,Dr. Heinz-Jürgen Bertram
Siemens,foundedBy,Werner von Siemens
"Hilden, Germany",instanceOf,City
SEAT,stockExchange,Not listed independently
^GDAXI,previouslyKnownAs,DAX 30
DAX 40,includesCompany,RWE
Volkswagen,tickerSymbol,VOW3
Fresenius,founded,1912
Porsche,listedIn,DAX 40 Index
BASF,foundedYear,1865
Dietmar Hopp,occupation,Entrepreneur
NSU (historical),instanceOf,Company
DAX 40 Index,includesCompanies,Qiagen
Eurozone,relatedIndex,DAX 40 Index
Bayer,CEO,Werner Baumann
SAP,tickerSymbol,SAP
DAX 40 Index,hasConstituentCompany,Linde
Siemens,tickerSymbol,SIE
Deutsche Post AG,headquarters,"Bonn, Germany"
DTE,instanceOf,Company
HEN3,listedOn,DAX 40 Index
Siemens AG,headquarters,"Munich, Germany"
