subject,predicate,object
Ishtar Gate bricks,material,Glazed brick
Jeconiah,fatherOf,Zerubbabel
Neo-Babylonian Empire,foundedBy,Nabopolassar
Law of retaliation,influenced,later legal systems
Ancient Babylonian mythology,timePeriod,circa 2000 BCE to 500 BCE
Kassite Dynasty,capital,Babylon
Akkadian city-states,politicalStructure,city-state
Enmetena,father,Lugal-anda
Ishtar,mythology,Epic of Gilgamesh
Samsu-Ditana,predecessor,Ammisaduqa
Sippar,partOf,ancient Mesopotamia
Hammurabi,reignEnd,c. 1750 BC
Kingdom of Judah,locatedIn,Southern Levant
Babylonian artifacts,originatedFrom,Babylon
Kurigalzu I,religion,Ancient Mesopotamian religion
Akitu,associatedWith,Marduk
Code of Hammurabi,createdBy,Hammurabi
Sumerian Civilization,location,Mesopotamia
Kashtiliash IV of Babylon,dynasty,Kassite dynasty
Nisannu,significance,First month of the Babylonian calendar
Ur III,knownFor,administrative reforms
Ancient Assyria,instanceOf,ancient civilization
Fall of Babylon (539 BC),involved party,Babylonian Empire
Ur-Nammu law code,instanceOf,ancient legal code
Tell el-Muqayyar,alsoKnownAs,Ur
Assyrian palaces,example,Palace of Ashurnasirpal II at Nimrud
Shamash Festival,dedicatedTo,Shamash
Shulgi,contribution,Cultural patronage
Tushratta,instanceOf,King of Mitanni
Hammurabi's Code,writtenIn,Akkadian language
Henry Rawlinson,occupation,Assyriologist
Babylonian clay tablets,content,administrative records
Enki,domain,knowledge
Bull of Heaven,appearsIn,Epic of Gilgamesh
Babylon,culturalSignificance,center of Mesopotamian civilization
Library of Ashurbanipal,significance,one of the earliest known libraries
Esagila,locatedNear,Etemenanki ziggurat
Stele of Hammurabi,material,black diorite
Kutir-Nahhunte,associatedWith,Elamite dynasty
Ancient Babylon,instanceOf,Ancient city
Ekur,associatedWith,Sumerian mythology
Marduk-shapik-zeri,instanceOf,King of Babylon
Sin (moon god),associatedWith,Moon
Babylonian Captivity of the Jews,significance,Major event in Jewish history
Stele of Dadusha,instanceOf,ancient artifact
King Rim-Sin I,instanceOf,King of Larsa
Ancient Babylonian King,responsibility,Religious duties
Sumerians,instanceOf,Ancient civilization
Middle Assyrian period,notableRuler,Ashur-uballit I
Neo-Assyrian period,capital,Nineveh
Tiglath-Pileser I,instanceOf,King of Assyria
Old Babylonian period,languageUsed,Akkadian
Persian conquest of Babylon,mentionedIn,Cyrus Cylinder
Babylonian King,instanceOf,Title
Damiq-ilishu,title,King of Isin
"Hillah, Iraq",instanceOf,City
Enmebaragesi,reignPeriod,circa 2600 BCE
Babylonian art,includes,reliefs
Gishakidu,instanceOf,King of the ancient city of Babylon
Assyria,capital,Nineveh
Sargon of Akkad,knownFor,founding the Akkadian Empire
First Dynasty of Babylon,notableRuler,Samsu-iluna
Tower of Babel,symbolizes,human pride
Ancient Babylonian palace,builtDuring,Neo-Babylonian Empire
King of Ur III dynasty,associatedWith,Ur III dynasty
Assyrian dominance over Babylon,timePeriod,circa 911–609 BCE
Neo-Assyrian Empire,location,Mesopotamia
Atrahasis Epic,topic,great flood
Achaemenid conquest of Babylon,conqueredBy,Cyrus the Great
Siege of Babylon (539 BC),instanceOf,Military siege
Ishme-Dagan,instanceOf,King
Kassite dynasty,defeated,Hittites
Abi-Eshuh,notableEvent,Issued legal and economic texts
Addaru,instanceOf,Ancient Babylonian deity
Larsa dynasty,instanceOf,dynasty
Middle Babylonian period,languageUsed,Akkadian
Hanging Gardens of Babylon,waterSource,Irrigation system possibly using the Euphrates River
Book of Daniel,mentions,Belshazzar
Dur-Sharrukin,builtBy,Sargon II
Babylonian city-state,governmentType,monarchy
Aram-Damascus,capital,Damascus
Kassite kudurru boundary stones,timePeriod,Kassite period (c. 16th to 12th century BCE)
Kassites,capital,Dur-Kurigalzu
Kurkh Monoliths,describe,Battle of Qarqar
Nabu-mukin-zeri,title,King of Babylon
Fall of Babylon to the Hittites,resultedIn,Destruction of Babylon
Temple of the Sun God Utu,locatedIn,Babylon
Amel-Marduk,reignEnd,560 BC
Babylonian period,timeFrameEnd,539 BCE
Lex talionis,codifiedIn,Code of Hammurabi
Eanna,locatedIn,Uruk
Enki,role,god of crafts
Temple of the Sun God Utu,function,Religious worship
Sargon of Akkad,instanceOf,Ancient Mesopotamian ruler
Arda-Mulissu,sibling,Kudur-Enlil
Destruction of Babylon,method,Conquest
Middle Assyrian Empire,successor,Neo-Assyrian Empire
Simbar-shipak,notableEvent,Founded the 2nd Dynasty of Isin
Abu Habbah,role,Governor of Babylon
Akitu (New Year Festival),duration,12 days
Shuruppak,notableRuler,Ubara-Tutu
Achaemenid Empire,conquered,Babylon
Epic of Gilgamesh,influenced,later literature and mythology
Akkadian city-states,locatedIn,Mesopotamia
Babylon,economicActivity,trade and agriculture
Zerubbabel,led,First group of Jewish exiles back to Jerusalem from Babylonian captivity
King Belshazzar,father,Nabonidus
Gilgamesh and Enkidu,featuredIn,Epic of Gilgamesh
Nabonidus,historicalPeriod,Neo-Babylonian Empire
Nanna (Moon God),alsoKnownAs,Sin
Babylonian exile,alsoKnownAs,Babylonian captivity
Babylonian Talmud,instanceOf,Jewish religious text
Dur-Sharrukin,famousFor,palace of Sargon II
Ninlil,alsoKnownAs,Sud
Babylonian city-state,instanceOf,city-state
Babylonian region,locatedIn,Mesopotamia
City of Isin,locatedIn,Mesopotamia
Code of Ur-Nammu,containsLaws,laws on murder
King Ahaz,son,Hezekiah
Shamash,instanceOf,Mesopotamian deity
King of Babylon,associatedWith,Babylon
Babylonian captivity of Jews,significance,major event in Jewish history
Akkadian dialect,relatedTo,Babylonian language
Ensi,instanceOf,Title
Utu,associatedWith,Justice
Marduk,mother,Sarpanit
Sin-Muballit,fatherOf,Hammurabi
Battle of Gaugamela,combatants,Achaemenid Empire
Deportation of King Jehoiachin,year,597 BCE
Nanna (Moon God),associatedWith,Moon
Nabu-mukin-zeri,instanceOf,King of Babylon
Shealtiel,mentionedIn,Hebrew Bible
Shamshi-Adad V,son,Adad-nirari III
Du'uzu,role,God of fertility
Hanging Gardens of Babylon,description,Terraced gardens with exotic plants
Karduniaš,religion,Ancient Mesopotamian religion
Babylonian Exile,startedIn,586 BCE
Book of Jeremiah,historicalContext,Babylonian Empire
Ninhursag,associatedWith,fertility
Enkidu,symbolizes,Nature and wilderness
Eshnunna,locatedIn,Mesopotamia
Kadashman-Turgu,religion,Ancient Mesopotamian religion
Zerubbabel,mentionedIn,Hebrew Bible
Sumerians,invented,The wheel
Esagila temple,dedicatedTo,Marduk
Shuruppak,knownFor,ancient flood myth
Tiglath-Pileser I,reignPeriod,1114–1076 BC
Babylonian gods,include,Tiamat
Nergal,associatedWith,underworld
Rimush,successor,Manishtushu
Artatama I,knownFor,Diplomatic relations with Egypt
King Belshazzar,role,Co-regent of Babylon
Hammurabi's Code,dateOfCreation,circa 1754 BC
Carchemish,locatedNear,Euphrates River
Adad-apla-iddina,dynasty,2nd Dynasty of Isin
Babylonian astronomy,used,mathematical methods
Babylon ruins,locatedNear,Euphrates River
Enkidu,role,Companion of Gilgamesh
Ziggurat of Uruk,builtDuring,Ancient Mesopotamian period
Modern-day Iraq,instanceOf,Country
Babylonian people,notableKing,Hammurabi
Etemenanki Ziggurat,associatedWith,Tower of Babel
Evil-Merodach,reignPeriod,562–560 BC
City of Babylon,languageSpoken,Babylonian dialect
Semiramis,marriedTo,Ninus
Ziggurat of Uruk,purpose,Religious temple
King Shulgi,achievements,Administrative reforms
Amorite Dynasty,foundedBy,Sumu-abum
Artaxerxes II,father,Darius II
Babylonian Empire,timePeriod,c. 1894 BC – 539 BC
Merodach-Baladan II,reignPeriod,703 BC
Ea,domain,Water
Babylonian conquest of Judah,involved,Babylonian Empire
Ishtar Gate,namedAfter,goddess Ishtar
Kurigalzu I,capital,Babylon
Lamassu statues,depict,human-headed winged bulls or lions
Hanging Gardens of Babylon,feature,Irrigation system
Umma,knownFor,Boundary disputes with Lagash
Siege of Jerusalem (597 BC),occurredIn,Babylonian Empire
Tower of Babel,instanceOf,legend
Marduk-apla-iddina II,instanceOf,King of Babylon
Hammurabi of Babylon,successor,Samsu-iluna
Kadashman-Enlil I,dynasty,Kassite dynasty
Nippur,significance,Religious center of Sumer
Babylonian people,language,Akkadian
Second Abbasid Caliph,father,Abu al-‘Abbas al-Saffah
Babylon,notableKing,Hammurabi
Amarna letters correspondence,date,14th century BCE
Babylonian clay tablets,importance,historical source for Babylonian civilization
Agum III,instanceOf,King of Babylon
Persian Empire,instanceOf,ancient empire
Nabu-shuma-ukin I,reignPeriod,circa 900 BC
Babylonian Chronicles,discoveredIn,Mesopotamia
King of the Four Quarters,usedBy,Babylonian kings
Mami,instanceOf,Goddess
Manishtushu,notableFor,Expansion of Akkadian Empire
Lullubi,instanceOf,ancient people
Babylon,famous for,Hanging Gardens
Tigris River,historicalMention,Referenced in ancient Babylonian texts
Tukulti-Ninurta I,knownFor,Conquest of Babylon
Siege of Babylon (689 BC),ledBy,Sennacherib
Ishbi-Erra,predecessor,Ibbi-Sin
Dur-Sharrukin,knownAs,Khorsabad
Eshnunna law code,instanceOf,ancient legal code
Satrapy of the Achaemenid Empire,instanceOf,administrative division
Battle of Cunaxa,involvedEntity,Cyrus the Younger
Ziggurat of Etemenanki,locatedIn,Babylon
Expansion of Babylon,ledTo,increased political power
Tukulti-Ninurta I,father,Shalmaneser I
Ziggurat of Babylon,height,Approximately 91 meters (300 feet)
Ninlil,associatedWith,Ancient city of Babylon
Siege of Babylon (539 BC),ledBy,Cyrus the Great
Ancient Babylonian King,responsibility,Military leadership
Solomon's Temple,destroyedBy,Babylonians
Babylonian literature,contains,legal texts
Babylon,knownFor,Babylonian diplomacy
Ancient Babylonian texts,include,Astronomical records
Sin,fatherOf,Shamash
Battle of Opis,commander,Cyrus the Great
Burna-Buriash I,dynasty,Kassite dynasty
Burna-Buriaš II,reignPeriod,c. 1359–1333 BC
Babylonian calendar,origin,ancient Mesopotamia
Babylon,notablePerson,Nebuchadnezzar II
Coniah,alsoKnownAs,Jehoiachin
Babylon,languageSpoken,Sumerian
Akkadian Empire,timePeriod,c. 2334–2154 BCE
Ancient Babylonian civilization,language,Akkadian
Gilgamesh,featuredIn,Epic of Gilgamesh
Hadadezer,reignedDuring,9th century BC
Fall of Babylon in 539 BCE,date,539 BCE
Hammurabi,language,Akkadian
City of Larsa,ruinsLocatedIn,modern-day Iraq
Semiramis,creditedWith,Building the city of Babylon
Ancient Israel,timePeriod,Iron Age
Enuma Anu Enlil,importance,basis for Mesopotamian astrology
First Temple in Jerusalem,alsoKnownAs,Solomon's Temple
Ishbi-Erra,reignEnd,c. 1986 BC
Book of Jeremiah,language,Hebrew
Ningal,spouse,Nanna
Ezida temple,locatedIn,Borsippa
Marduk,associatedWith,Creation
Cambyses II,father,Cyrus the Great
Epic of Gilgamesh,originatedIn,ancient Mesopotamia
Gate of All Nations,constructedBy,Achaemenid Empire
Code of Hammurabi stele,discoveredAt,Susa
End of Assyrian Empire,resultedIn,rise of Neo-Babylonian Empire
King Shulgi,reignPeriod,c. 2094–2047 BCE
Shamash festival,instanceOf,Ancient Babylonian festival
Babylon,knownFor,Babylonian art
Shuttarna II,father,Parshatatar
Arch of Ctesiphon,associatedWith,Parthian Empire
Behistun Inscription,importance,Key to deciphering cuneiform script
Ishtar Gate,decoratedWith,images of bulls
Assyrian Empire,relationToBabylon,conquered Babylon multiple times
Eshnunna,notableArtifact,Tell Asmar Hoard
Burna-Buriaš III,dynasty,Kassite dynasty
Southern Mesopotamia,locatedIn,Mesopotamia
Marduk-šāpik-zēri,successor,Marduk-aḫḫē-erība
Conflicts with Lagash,involves,Lagash
Isin,knownFor,Isin-Larsa period
Esagila,contains,shrine of Marduk
Eshnunna law code,discoveredIn,modern Iraq
Ishtar,instanceOf,goddess
Kassite kudurru boundary stones,material,stone
Enki,domain,wisdom
Xerxes II,deathCause,Assassination
Akitu Festival,celebratedIn,Babylon
Babylonian mythology,features,creation myths
Kadašman-Enlil I,capital,Babylon
Siege of Jerusalem,involved,Babylonian Empire
King Gilgamesh,associatedWith,Epic of Gilgamesh
Ubara-Tutu,fatherOf,Ziusudra
al-Hiba,locatedIn,Mesopotamia
Hattusili III,father,Mursili III
Ziggurat,culturalSignificance,Symbol of connection between earth and heaven
Marduk,created,World from Tiamat's body
Kudur-Enlil,title,King of Babylon
King Ahaz,kingdom,Kingdom of Judah
Library of Ashurbanipal,contains,historical records
Babylonian religion,mainDeity,Marduk
Enki,associatedWith,wisdom
Tower of Babel,describedIn,Bible
Shamash,associatedWith,Sun
Kadashman-Turgu,notableFor,Military campaigns against Assyria
City Walls of Babylon,notableFeature,Double walls
First Dynasty of Babylon,language,Akkadian
Ashur-dan III,reignStart,772 BC
Ruins of Babylon,locatedIn,"Babylon, Iraq"
Babylonian captivity of the Jews,alsoKnownAs,Babylonian exile
Adad-shuma-usur,instanceOf,King of Babylon
Babylon,languageSpoken,Babylonian dialect
Old Babylonian Empire,instanceOf,ancient empire
Babylon,modernLocation,Iraq
Babylon,notableFeature,city walls
Ur III dynasty,instanceOf,dynasty
Behistun Inscription,language,Old Persian
Kara-hardash,instanceOf,King of Babylon
Neo-Babylonian,timePeriod,626 BC to 539 BC
Umma,ruledBy,King Lugal-Zage-Si
as-Senkereh,knownFor,palace complex
Epic of Gilgamesh,containsStory,Flood narrative
First Temple in Jerusalem,constructedBy,King Solomon
Achaemenid rule over Babylon,capital,Babylon
Fall of Babylon in 539 BCE,precededBy,Neo-Babylonian Empire
Babylon,knownFor,city walls and fortifications
King of Sippar,historicalPeriod,Ancient Mesopotamia
Isin,ruledBy,Ishbi-Erra
Ninhursag,associatedWith,nature
Ancient Babylonian religion,practicedIn,Babylon
Babylonian,associatedWith,Babylon
Achaemenid conquest of Babylon,significance,start of Achaemenid rule over Babylon
Ur,ruledBy,King Shulgi
Warad-Sin,reignPeriod,circa 1770 BC to 1758 BC
Kurigalzu II,instanceOf,King of Babylon
Nabu-apla-iddina,notableFor,Compilation of the Babylonian astronomical diaries
Meli-Shipak II,successor,Marduk-apla-iddina I
Ninhursag,relatedTo,creation myths
Library of Ashurbanipal,contains,clay tablets
Second Abbasid Caliph,reignStart,754 AD
Shrine of Marduk,associatedWith,Esagila temple complex
Siege of Jerusalem (597 BC),ledBy,Nebuchadnezzar II
City-state of Larsa,instanceOf,Ancient Mesopotamian city-state
Marduk-nādin-aḫḫē,reignPeriod,1099–1082 BC
Shubat-Enlil,archaeologicalSite,Iraq
Hanging Gardens of Babylon,constructedIn,6th century BC
Adad-nirari III,successor,Shalmaneser IV
City of Ur,knownFor,Ziggurat of Ur
Adad-shuma-iddina,successor,Adad-apla-iddina
Shrine of Marduk,function,Place of worship
Adad-nirari I,title,King of the Middle Assyrian Empire
Darius the Great,expanded,the Persian Empire
Kadašman-Enlil I,reignPeriod,c. 1374–1360 BC
Akkadians,associatedWith,Ancient city of Babylon
Kar-Tukulti-Ninurta,associatedWith,Assyrian Empire
Medes,existedDuring,Iron Age
Babil Governorate,locatedIn,Iraq
King Kurigalzu I,instanceOf,King of Babylon
Worship of the moon god Sin,associatedWith,Ancient Mesopotamian religion
Babylon in 539 BCE,conqueror,Cyrus the Great
City of Uruk,notableRuler,Gilgamesh
Tiamat,depictedAs,Dragon or sea serpent
Apsu,defeatedBy,Ea (Enki)
Babylonian Astronomers,used,Cuneiform Tablets
Babylonian territory,locatedIn,Mesopotamia
Samsu-ditana,historicalPeriod,Old Babylonian period
Amytis of Media,knownFor,Inspiration for the Hanging Gardens of Babylon
Washukanni,instanceOf,ancient city
Nabonidus,overthrownBy,Cyrus the Great
Mut-Ashkur,title,King of Assyria
Sarpanit,spouse,Marduk
King Nebuchadnezzar II,capitalCity,Babylon
Treaty of Kadesh,language,Akkadian
Akitu,honoredDeity,Marduk
Akkad,capitalOf,Akkadian Empire
Expansion of Babylon,relatedTo,Babylon
Palace of Sargon II,locatedIn,Dur-Sharrukin
Ezekiel,prophesiedIn,Babylon
Babylonian captivity,significance,major event in Jewish history
Samsu-Ditana,successor,Unknown (end of dynasty)
Ziggurat,notableExample,Etemenanki
Nebuchadnezzar II,notableEvent,Siege of Jerusalem (597 BC)
Library of Ashurbanipal,establishedBy,Ashurbanipal
Shamash festival,associatedWith,Sun god
Enkidu,friendshipWith,Gilgamesh
Ancient Babylonian King,timePeriod,Ancient Mesopotamia
Babylon,UNESCOWorldHeritageSite,Yes
Ishtar Gate,function,Ceremonial entrance to Babylon
King Shulgi,instanceOf,King of Ur
Ninus,spouse,Semiramis
Babylonian civilization,religion,polytheistic
Eanna temple,instanceOf,ancient temple
Cyrus the Great,mentionedIn,Bible
Enuma Anu Enlil texts,usedBy,Babylonian priests
Shalmaneser V,notableFor,Siege of Samaria
Ishtar Gate,constructionDate,circa 575 BCE
Tukulti-Ninurta II,instanceOf,King of Assyria
Cuneiform Tablets,timePeriod,Ancient Mesopotamia
Sin,associatedWith,Wisdom
King Rim-Sin I,conquered,Babylon
Walls of Babylon,height,Up to 25 meters
as-Senkereh,ruinsLocatedIn,modern-day Iraq
Babylonian civilization,centeredIn,Babylon
Ancient Babylon,economicActivity,Agriculture
Ancient Babylonian religion,timePeriod,circa 1894 BC to 539 BC
Nanna (moon god),symbol,Crescent moon
Cyrus the Great,reigned,c. 559–530 BCE
Babylonian mythology,includesMyth,Epic of Gilgamesh
Sumu-la-El,instanceOf,King of Babylon
Nebuchadnezzar II,conquered,Jerusalem
Aram-Damascus,defeatedBy,Assyrian Empire
Deportation of King Jehoiachin,instanceOf,historical event
City of Uruk,instanceOf,Ancient Mesopotamian city
Utu,worshipedIn,Babylon
Naram-Sin,capital,Akkad
Cyrus the Great,allowed,Jews to return to Jerusalem
Tiglath-Pileser III,expandedEmpire,Assyrian Empire
Median Empire,conqueredBy,Achaemenid Empire
Babylon in 539 BCE,significance,End of Neo-Babylonian Empire
Ancient Babylonian Temple,notableExample,Esagila
Kadashman-Harbe I,notableFor,Building projects in Babylon
Battle of Gaugamela,combatants,Macedonian Empire
Babylonian texts,preservedOn,clay tablets
Revolt of Shamash-shum-ukin,location,Babylon
Ashur-dan II,instanceOf,King of Assyria
King Gilgamesh,ruled,City of Uruk
Babylonian Chronicles,instanceOf,ancient Mesopotamian historical texts
King of the Four Quarters,notableHolder,Nebuchadnezzar II
Harran,mentionedIn,Babylonian texts
Enkidu,purpose,To be a counterpart to Gilgamesh
Ancient Babylonian texts,writtenIn,Sumerian language
Babylonian Captivity of Jews,biblicalReference,Book of Ezekiel
Kadašman-Enlil I,religion,Ancient Mesopotamian religion
Ancient Sumer,religion,polytheistic
Abu Ja'far Abdallah ibn Muhammad al-Mansur,founded,Baghdad
Ancient Babylonian astronomical text,contains,lunar eclipses
End of the First Babylonian Dynasty,occurredIn,ancient Babylon
Battle of Nineveh (612 BC),involved,Assyrian Empire
Persian Empire,knownFor,Achaemenid dynasty
Ancient Babylonian period,knownFor,construction of the Hanging Gardens of Babylon
Babylon,knownFor,Babylonian pottery
Mul.Apin tablets,originatedIn,Babylon
Belet-ili,mentionedIn,Enuma Elish
Neo-Babylonian Empire period,alsoKnownAs,Chaldean Empire
King Shulgi,dynasty,Third Dynasty of Ur
Lugalanda,instanceOf,King of Lagash
Lullubi,location,Zagros Mountains
Kar-Tukulti-Ninurta,function,capital city
Nebuchadnezzar I,notableAchievement,Defeated Elamites and recovered the statue of Marduk
Apil-Sin,fatherOf,Sin-Muballit
Shamash-shum-ukin,title,King of Babylon
Babylonian mythology,instanceOf,mythology
Mul.Apin,writtenIn,Akkadian language
